"","mc_critic_score","mc_critic_num","mc_audience_score","mc_audience_num","imdb_score","imdb_reviews"
"2836",44,27,8.6,211,6.4,77162
"2837",24,23,8.3,73,5.9,32960
"2838",64,36,7.8,833,7.6,613388
"2839",29,19,2.3,71,5.1,18619
"2840",50,23,6.7,9,5.3,6299
"2841",64,34,8.1,68,6.4,40965
"2842",34,26,6.6,9,5.9,12358
"2843",32,30,5.9,29,5.2,53765
"2844",50,34,9.3,51,6.1,23811
"2845",65,39,6.7,66,6.8,91130
"2846",26,24,6.6,62,6.4,101397
"2847",40,23,NA,NA,5.4,1616
"2848",49,32,5.7,30,6.3,49922
"2849",14,28,1.5,55,3.1,25211
"2850",48,24,7.7,108,7.1,94150
"2851",79,35,8.7,610,8,786322
"2852",49,32,7.6,19,6.5,31952
"2853",78,37,8,260,7.3,141985
"2854",53,32,8.4,124,5.4,51638
"2855",37,21,5.3,9,4.1,4904
"2856",18,26,2.4,30,5.4,16446
"2857",61,35,7.6,13,7.1,29074
"2858",14,14,8.6,371,6.2,42748
"2859",25,31,6.8,31,4.6,10586
"2860",31,32,4.3,24,5.8,22616
"2861",19,26,2.4,99,3.7,18813
"2862",25,25,1.4,32,5.2,12324
"2863",71,35,7.3,43,6.4,42352
"2864",47,23,6.1,37,6,6295
"2865",24,25,5,14,4.6,6045
"2866",16,20,5.8,245,3.4,19515
"2867",25,23,6.2,150,4.4,48836
"2868",64,32,8.9,214,7.2,74218
"2869",29,21,4.8,81,6.3,51988
"2870",58,29,6.4,21,6.2,28158
"2871",27,30,7.5,56,6.9,51339
"2872",30,26,1.4,106,6.1,22025
"2873",65,25,6.9,50,6.6,9052
"2874",36,26,5,13,4.9,9073
"2875",25,20,6.6,7,5.5,13541
"2876",52,34,7.3,15,6.3,12605
"2877",49,38,8.8,178,6.1,57931
"2878",49,29,6.2,61,6.4,97007
"2879",38,30,7.2,36,6.4,38143
"2880",42,21,7.8,18,5.5,9785
"2881",32,22,6.3,76,5.7,94358
"2882",47,32,9.1,29,6.5,19449
"2883",42,15,8.5,21,6.2,22305
"2884",73,38,8.6,1285,7.3,669415
"2885",59,30,5.8,33,6.2,32893
"2886",50,30,5.4,44,6.7,48657
"2887",33,26,7.6,12,6.2,22238
"2888",16,21,8.6,59,5.7,6871
"2889",55,35,6.1,8,4.7,9767
"2890",12,28,3.8,41,5.4,13583
"2891",23,29,2.4,63,6.3,47022
"2892",51,32,8.9,44,6.1,23902
"2893",46,37,6.5,21,6.6,25269
"2894",12,12,5,51,3.8,23974
"2895",48,33,5.4,86,5.9,124648
"2896",32,26,8.7,116,4.9,37123
"2897",63,29,7.4,67,7.1,141361
"2898",29,27,8.6,42,5.6,23932
"2899",20,23,7.8,66,4.7,12299
"2900",66,35,8.5,454,7.6,260816
"2901",22,15,7.4,38,6.3,16470
"2902",40,19,7.2,27,5.4,7200
"2903",50,34,4.8,220,5.7,206589
"2904",60,32,8.2,80,6.5,64213
"2905",48,25,2.7,87,6.4,27492
"2906",18,15,5.4,10,4.8,6511
"2907",54,32,5.3,119,6.8,143661
"2908",38,32,8.5,47,6.3,47511
"2909",52,27,8.2,118,6.3,123478
"2910",61,31,6.5,223,6.5,240620
"2911",49,31,7,128,7.4,172079
"2912",52,33,8.7,68,6.9,101374
"2913",84,34,8.8,870,7.8,594154
"2914",48,28,8.4,231,6.6,194606
"2915",48,31,3.4,422,6.3,294261
"2916",44,35,5.6,230,6.2,304565
"2917",42,30,6.2,435,5.9,287647
"2918",57,36,7.1,231,6.8,247142
"2919",43,28,5.5,196,6.4,234232
"2920",58,34,7.8,457,6.8,337195
"2921",33,31,5.9,230,5.8,193515
"2922",86,34,8.9,306,7.6,191646
"2923",73,32,7.1,394,7.8,503529
"2924",94,32,8.1,604,7.8,247821
"2925",49,28,5.9,36,4.7,40893
"2926",71,27,8.1,186,5.5,105161
"2927",74,29,8.7,363,7.6,327357
"2928",59,32,7.1,115,6.3,176936
"2929",44,32,5.8,29,5.7,53674
"2930",47,26,5.9,98,5.1,55114
"2931",53,24,7.7,115,6.2,55828
"2932",52,29,7.4,156,6.9,99610
"2933",65,32,6.7,369,7.2,284252
"2934",69,35,8.9,387,7.7,376242
"2935",42,31,6.4,60,6.4,73507
"2936",47,33,7.4,153,6.4,187146
"2937",66,33,8.3,185,6.7,217802
"2938",29,25,5.6,191,5.3,145656
"2939",71,29,8.1,108,6.8,117916
"2940",32,33,7.3,189,6.5,173091
"2941",64,31,7.3,110,7.2,174050
"2942",43,35,8.5,107,6.1,100924
"2943",43,20,4.4,180,6.2,180538
"2944",32,28,8.8,93,5.5,21240
"2945",33,29,4.5,47,5.3,73890
"2946",43,22,4.1,30,4.8,55853
"2947",52,26,8.6,144,6.4,106476
"2948",56,36,6.9,143,6.9,164837
"2949",52,34,8.7,232,7.6,234165
"2950",39,9,7.9,51,5.6,31402
"2951",53,33,7,121,7.6,235730
"2952",62,27,8.5,95,7.3,80993
"2953",69,30,7.8,218,7.7,275924
"2954",25,21,7.1,73,5.9,87303
"2955",30,24,4.8,293,5.6,77080
"2956",47,32,8.7,107,6.2,50360
"2957",40,32,6.3,83,6.1,117122
"2958",49,24,4.6,200,6.2,107427
"2959",70,28,8.5,205,7.3,172634
"2960",58,26,8.2,103,6.6,59707
"2961",43,20,7.5,25,6.6,9122
"2962",42,28,8.7,191,6.8,100517
"2963",67,31,7.5,28,7.3,52581
"2964",24,23,6.4,21,5.4,8552
"2965",29,26,5.4,38,4.6,38647
"2966",37,28,6.3,8,5.5,14660
"2967",49,28,6.2,134,6.4,79272
"2968",55,31,8.8,522,8.3,758542
"2969",43,31,7.6,13,6.5,26133
"2970",51,31,8.5,234,6.8,146174
"2971",25,22,8.6,33,5.5,7947
"2972",55,26,7.4,10,6.4,12460
"2973",50,23,7.5,4,6.4,4060
"2974",32,30,8.5,37,6.1,22939
"2975",20,26,6.5,122,6,49920
"2976",27,23,5.7,10,4.9,13885
"2977",37,23,5.6,19,4.8,23025
"2978",36,33,7.5,17,5.9,32324
"2979",27,30,8.2,83,6.7,83505
"2980",34,32,6.1,36,6.1,47629
"2981",55,30,7.9,29,6.9,35289
"2982",39,28,4.1,57,5.6,22061
"2983",66,33,9.2,129,6.5,32495
"2984",48,26,6.9,10,5.6,2026
"2985",35,21,7.7,9,6.2,6102
"2986",75,31,8.6,143,6.6,62466
"2987",18,17,8.5,175,4.8,24400
"2988",21,25,2.8,33,5.1,14877
"2989",71,33,6.7,33,6.8,52005
"2990",48,29,6.1,38,5.9,57299
"2991",22,29,6.7,51,5.9,37889
"2992",43,32,7.6,30,7,68690
"2993",34,17,2,65,5.8,31436
"2994",NA,NA,NA,NA,5.8,12613
"2995",54,32,6.2,20,6.3,40081
"2996",61,26,8.4,66,6.5,23495
"2997",33,24,7.8,46,6.1,52637
"2998",53,26,2.8,36,6.1,18956
"2999",21,30,3.2,94,6,42955
"3000",45,32,7.6,26,7.5,42315
"3001",79,28,8.8,45,7.5,15067
"3002",26,14,8.9,206,4.9,31385
"3003",47,29,8.6,43,5.4,21157
"3004",13,25,5.9,157,4.6,45142
"3005",30,17,6,136,5.5,132151
"3006",57,28,6.1,58,6.3,31407
"3007",15,19,2.1,64,5.4,17196
"3008",25,26,6.3,13,6,13639
